[00:41:01] [User Authenticator #41/INFO]: UUID of player mano328 is 5df8f9d8-510c-4260-a4ec-e70dc4ff6a60
[00:41:01] [Server thread/INFO]: mano328[/73.169.183.91:62178] logged in with entity id 782414 at (-1294.6434466450544, 72.0, 1336.1843960496665)
[00:41:01] [Server thread/INFO]: mano328 joined the game
[00:42:38] [Server thread/INFO]: [mano328: Set own game mode to Creative Mode]
[00:47:07] [Server thread/INFO]: [mano328: Set the time to 13000]
[00:53:49] [Server thread/INFO]: [mano328: Set own game mode to Survival Mode]
[00:54:06] [Server thread/INFO]: [mano328: Set the time to 1000]
[00:54:17] [Server thread/INFO]: [mano328: Set the time to 13000]
[00:54:50] [Server thread/INFO]: [mano328: Set own game mode to Creative Mode]
[00:56:22] [Server thread/INFO]: [mano328: Set the time to 1000]
[00:56:28] [Server thread/INFO]: [mano328: Set the time to 13000]
[00:59:35] [Server thread/INFO]: Villager bfj['Villager'/787018, l='ServerLevel[world]', x=-152.91, y=128.00, z=177.26] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:37] [Server thread/INFO]: Villager bfj['Villager'/787017, l='ServerLevel[world]', x=-156.47, y=128.00, z=171.78] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:38] [Server thread/INFO]: Villager bfj['Villager'/787019, l='ServerLevel[world]', x=-151.48, y=128.00, z=172.10] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:41] [Server thread/INFO]: Villager bfj['Villager'/787022, l='ServerLevel[world]', x=-150.84, y=128.00, z=189.43] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:45] [Server thread/INFO]: Villager bfj['Villager'/787023, l='ServerLevel[world]', x=-150.26, y=128.00, z=191.56] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:46] [Server thread/INFO]: Villager bfj['Villager'/787024, l='ServerLevel[world]', x=-150.14, y=128.00, z=189.52] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:54] [Server thread/INFO]: Villager bfj['Villager'/786995, l='ServerLevel[world]', x=-136.30, y=128.00, z=189.26] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:55] [Server thread/INFO]: Villager bfj['Villager'/786994, l='ServerLevel[world]', x=-134.06, y=128.00, z=188.34] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[00:59:56] [Server thread/INFO]: Villager bfj['Villager'/786993, l='ServerLevel[world]', x=-125.35, y=128.00, z=194.50] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[01:00:00] [Server thread/INFO]: Villager bfj['Villager'/786999, l='ServerLevel[world]', x=-130.53, y=128.00, z=170.75] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[01:00:01] [Server thread/INFO]: Villager bfj['Villager'/786998, l='ServerLevel[world]', x=-130.84, y=128.00, z=176.08] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
[01:00:02] [Server thread/INFO]: Villager bfj['Villager'/786997, l='ServerLevel[world]', x=-137.19, y=129.00, z=170.66] died, message: 'Villager was slain by mano328 using [( #`⌂´)/┌┛]'
